Period,Max Age,End Date,Growth,Earnings Estimate Avg,Earnings Estimate Low,Earnings Estimate High,Earnings Estimate Year Ago Eps,Earnings Estimate Number Of Analysts,Earnings Estimate Growth,Revenue Estimate Avg,Revenue Estimate Low,Revenue Estimate High,Revenue Estimate Number Of Analysts,Revenue Estimate Year Ago Revenue,Revenue Estimate Growth,Eps Trend Current,Eps Trend 7Days Ago,Eps Trend 30Days Ago,Eps Trend 60Days Ago,Eps Trend 90Days Ago,Eps Revisions Up Last7Days,Eps Revisions Up Last30Days,Eps Revisions Down Last30Days,Eps Revisions Down Last90Days,stock
+5Y,1,,0.0161,,,,,,,,,,,,,,,,,,,,,,SJM
-5Y,1,,0.09899,,,,,,,,,,,,,,,,,,,,,,SJM
0Q,1,2021-12-31,0.219,0.39,0.36,0.41,0.32,9.0,0.219,722550000.0,708970000.0,750000000.0,7.0,642100000.0,0.125,0.39,0.39,0.39,0.38,0.37,0.0,0.0,0.0,,BRO
+1Q,1,2022-03-31,0.056999996,0.74,0.7,0.8,0.7,8.0,0.056999996,880120000.0,851350000.0,922000000.0,7.0,755810000.0,0.16399999,0.74,0.74,0.73,0.72,0.71,0.0,0.0,0.0,,BRO
0Y,1,2021-12-31,0.287,2.15,2.08,2.18,1.67,9.0,0.287,3034740000.0,3021870000.0,3063000000.0,9.0,2613400000.0,0.161,2.15,2.15,2.16,2.16,2.09,0.0,0.0,0.0,,BRO
+1Y,1,2022-12-31,0.065,2.29,2.16,2.4,2.15,9.0,0.065,3265230000.0,3196500000.0,3398000000.0,8.0,3034740000.0,0.076,2.29,2.29,2.3,2.28,2.22,0.0,0.0,0.0,,BRO
+5Y,1,,0.1322,,,,,,,,,,,,,,,,,,,,,,BRO
-5Y,1,,0.12704,,,,,,,,,,,,,,,,,,,,,,BRO
0Q,1,2021-12-31,0.107,1.87,1.65,1.96,1.69,19.0,0.107,2396790000.0,2184000000.0,2730000000.0,14.0,2186000000.0,0.096,1.87,1.87,1.86,1.87,2.03,0.0,2.0,1.0,,EMN
+1Q,1,2022-03-31,0.075,2.29,2.11,2.4,2.13,10.0,0.075,2400290000.0,2223000000.0,2494000000.0,7.0,2330130000.0,0.03,2.29,2.29,2.29,2.29,2.27,1.0,3.0,0.0,,EMN
0Y,1,2021-12-31,0.45400003,8.94,8.7,9.05,6.15,18.0,0.45400003,10200200000.0,9966000000.0,10512000000.0,19.0,8473000000.0,0.204,8.94,8.94,8.93,8.95,9.11,0.0,2.0,1.0,,EMN
+1Y,1,2022-12-31,0.069,9.56,8.64,9.99,8.94,20.0,0.069,9878950000.0,9100000000.0,10817100000.0,19.0,10200200000.0,-0.031,9.56,9.56,9.56,9.55,9.48,0.0,3.0,0.0,,EMN
+5Y,1,,0.204,,,,,,,,,,,,,,,,,,,,,,EMN
-5Y,1,,0.01979,,,,,,,,,,,,,,,,,,,,,,EMN
0Q,1,2021-12-31,0.221,-3.91,-5.04,-3.47,-5.02,10.0,0.221,1027430000.0,273520000.0,1331800000.0,10.0,34139000.0,29.095,-3.91,-3.91,-3.84,-3.69,-3.37,0.0,0.0,0.0,,RCL
+1Q,1,2022-03-31,0.46400002,-2.38,-2.85,-1.87,-4.44,7.0,0.46400002,1657250000.0,1549920000.0,1763940000.0,8.0,42014000.0,38.445,-2.38,-2.38,-2.3,-2.29,-1.84,0.0,0.0,0.0,,RCL
0Y,1,2021-12-31,0.0139999995,-18.06,-19.46,-16.95,-18.31,16.0,0.0139999995,1705620000.0,1504640000.0,2109000000.0,14.0,2208800000.0,-0.22799999,-18.06,-18.06,-17.97,-17.88,-16.31,0.0,0.0,0.0,,RCL
+1Y,1,2022-12-31,1.024,0.43,-1.04,2.02,-18.06,17.0,1.024,10109900000.0,9181130000.0,10711700000.0,15.0,1705620000.0,4.927,0.43,0.43,0.54,0.39,0.79,0.0,0.0,0.0,,RCL
+5Y,1,,0.587,,,,,,,,,,,,,,,,,,,,,,RCL
-5Y,1,,0.32834998,,,,,,,,,,,,,,,,,,,,,,RCL
0Q,1,2022-01-31,0.171,0.48,0.42,0.52,0.41,11.0,0.171,2974530000.0,2524000000.0,3270000000.0,10.0,,,0.48,0.48,0.48,0.48,0.48,1.0,6.0,0.0,,HRL
+1Q,1,2022-04-30,0.16700001,0.49,0.46,0.53,0.42,11.0,0.16700001,2958670000.0,2673000000.0,3149000000.0,10.0,,,0.49,0.49,0.5,0.5,0.5,1.0,4.0,0.0,,HRL
0Y,1,2022-10-31,0.133,1.96,1.85,2.01,1.73,13.0,0.133,12194000000.0,12037700000.0,12474000000.0,11.0,11386200000.0,0.071,1.96,1.97,1.93,1.93,1.93,1.0,7.0,0.0,,HRL
+1Y,1,2023-10-31,0.081999995,2.12,2.05,2.21,1.96,12.0,0.081999995,12459500000.0,12157000000.0,12847000000.0,11.0,12194000000.0,0.022,2.12,2.12,2.11,2.11,2.12,0.0,2.0,0.0,,HRL
+5Y,1,,0.071,,,,,,,,,,,,,,,,,,,,,,HRL
-5Y,1,,0.07981,,,,,,,,,,,,,,,,,,,,,,HRL
0Q,1,2021-12-31,0.286,1.08,1.04,1.12,0.84,14.0,0.286,275180000.0,270050000.0,276500000.0,14.0,220947000.0,0.245,1.08,1.08,1.08,1.07,1.05,0.0,0.0,0.0,,PAYC
+1Q,1,2022-03-31,0.23799999,1.82,1.45,1.97,1.47,14.0,0.23799999,340200000.0,328360000.0,351170000.0,12.0,272198000.0,0.25,1.82,1.82,1.82,1.82,1.82,0.0,0.0,0.0,,PAYC
0Y,1,2021-12-31,0.272,4.44,4.38,4.52,3.49,15.0,0.272,1044460000.0,1027000000.0,1047000000.0,14.0,841434000.0,0.241,4.44,4.44,4.44,4.43,4.4,0.0,1.0,0.0,,PAYC
+1Y,1,2022-12-31,0.268,5.63,5.43,5.96,4.44,15.0,0.268,1295860000.0,1251800000.0,1320000000.0,15.0,1044460000.0,0.241,5.63,5.63,5.63,5.61,5.59,0.0,1.0,0.0,,PAYC
+5Y,1,,0.26450002,,,,,,,,,,,,,,,,,,,,,,PAYC
-5Y,1,,0.74453,,,,,,,,,,,,,,,,,,,,,,PAYC
0Q,1,2021-12-31,,1.87,1.84,1.94,,12.0,,4261610000.0,4245170000.0,4308880000.0,12.0,,,1.87,1.87,1.87,1.82,2.45,0.0,0.0,0.0,,WDC
+1Q,1,2022-03-31,,1.74,1.41,2.08,,12.0,,4215850000.0,4030170000.0,4497340000.0,12.0,,,1.74,1.74,1.74,1.69,2.28,0.0,0.0,0.0,,WDC
0Y,1,2022-06-30,0.964,7.7,7.03,8.54,3.92,15.0,0.964,17255200000.0,16815200000.0,17815900000.0,14.0,14578800000.0,0.184,7.7,7.68,7.7,7.5,8.88,0.0,0.0,0.0,,WDC
+1Y,1,2023-06-30,0.16600001,8.98,7.11,9.96,7.7,11.0,0.16600001,18903900000.0,17959300000.0,20554300000.0,10.0,17255200000.0,0.096,8.98,8.95,8.97,8.71,10.65,0.0,1.0,0.0,,WDC
+5Y,1,,0.2,,,,,,,,,,,,,,,,,,,,,,WDC
-5Y,1,,-0.19274001,,,,,,,,,,,,,,,,,,,,,,WDC
0Q,1,2021-12-31,0.745,-0.52,-0.8,-0.27,-2.04,13.0,0.745,2055470000.0,1784700000.0,2694000000.0,11.0,237383000.0,7.6590004,-0.52,-0.52,-0.53,-0.54,-0.55,0.0,0.0,0.0,,LYV
+1Q,1,2022-03-31,0.77800006,-0.32,-0.48,-0.12,-1.44,3.0,0.77800006,2193320000.0,1959430000.0,2521930000.0,3.0,290609000.0,6.547,-0.32,-0.32,-0.32,-0.37,-0.37,0.0,0.0,0.0,,LYV
0Y,1,2021-12-31,0.67,-2.68,-2.86,-2.42,-8.12,10.0,0.67,5652720000.0,5350000000.0,6259000000.0,13.0,1861180000.0,2.037,-2.68,-2.68,-2.68,-2.97,-2.97,0.0,1.0,0.0,,LYV
+1Y,1,2022-12-31,1.3060001,0.82,-0.11,1.47,-2.68,9.0,1.3060001,12986700000.0,11424600000.0,14233100000.0,10.0,5652720000.0,1.2969999,0.82,0.82,0.82,0.73,0.63,0.0,0.0,0.0,,LYV
+5Y,1,,0.80300003,,,,,,,,,,,,,,,,,,,,,,LYV
-5Y,1,,0.22504,,,,,,,,,,,,,,,,,,,,,,LYV
0Q,1,2021-12-31,0.153,1.58,1.56,1.64,1.37,15.0,0.153,709130000.0,700600000.0,719600000.0,13.0,614822000.0,0.153,1.58,1.58,1.58,1.59,1.62,0.0,0.0,1.0,,IEX
+1Q,1,2022-03-31,0.118999995,1.69,1.63,1.85,1.51,10.0,0.118999995,719370000.0,708900000.0,728400000.0,7.0,634850000.0,0.133,1.69,1.69,1.7,1.7,1.7,0.0,0.0,0.0,,IEX
0Y,1,2021-12-31,0.22,6.33,6.31,6.39,5.19,17.0,0.22,2756590000.0,2721000000.0,2769600000.0,16.0,2351650000.0,0.172,6.33,6.33,6.33,6.34,6.33,1.0,1.0,0.0,,IEX
+1Y,1,2022-12-31,0.107,7.01,6.74,7.65,6.33,17.0,0.107,2964540000.0,2902000000.0,3081920000.0,16.0,2756590000.0,0.075,7.01,7.01,7.01,7.01,7.04,1.0,1.0,0.0,,IEX
+5Y,1,,0.12,,,,,,,,,,,,,,,,,,,,,,IEX
-5Y,1,,0.13548,,,,,,,,,,,,,,,,,,,,,,IEX
0Q,1,2021-12-31,-1.0619999,-0.01,-0.2,0.14,0.16,23.0,-1.0619999,4217380000.0,4069720000.0,4331000000.0,20.0,,,-0.01,-0.01,0.0,0.04,0.03,0.0,0.0,0.0,,FOXA
+1Q,1,2022-03-31,0.045,0.92,0.79,1.16,0.88,22.0,0.045,3357940000.0,3231000000.0,3409000000.0,18.0,,,0.92,0.92,0.92,0.93,0.93,0.0,0.0,0.0,,FOXA
0Y,1,2022-06-30,-0.0069999998,2.86,2.66,3.16,2.88,24.0,-0.0069999998,13657400000.0,13301000000.0,14088500000.0,24.0,12909000000.0,0.058000002,2.86,2.86,2.84,2.81,2.78,1.0,2.0,0.0,,FOXA
+1Y,1,2023-06-30,0.245,3.56,3.1,4.05,2.86,27.0,0.245,14647500000.0,13830200000.0,15206000000.0,24.0,13657400000.0,0.072,3.56,3.56,3.56,3.47,3.44,0.0,1.0,0.0,,FOXA
+5Y,1,,0.064,,,,,,,,,,,,,,,,,,,,,,FOXA
-5Y,1,,,,,,,,,,,,,,,,,,,,,,,,FOXA
0Q,1,2021-12-31,-0.086,0.85,0.65,1.09,0.93,11.0,-0.086,814710000.0,745000000.0,886000000.0,15.0,789509000.0,0.032,0.85,0.85,0.85,0.88,0.78,0.0,0.0,0.0,,INCY
+1Q,1,2022-03-31,0.03,0.69,0.45,0.87,0.67,3.0,0.03,727260000.0,697000000.0,786120000.0,5.0,659240000.0,0.103,0.69,0.69,0.69,0.69,0.77,0.0,0.0,1.0,,INCY
0Y,1,2021-12-31,9.333,3.5,3.29,3.75,-0.42,11.0,9.333,2927450000.0,2801000000.0,3009000000.0,18.0,2666700000.0,0.098000005,3.5,3.5,3.5,3.49,3.04,0.0,0.0,0.0,,INCY
+1Y,1,2022-12-31,0.25100002,4.38,2.85,6.03,3.5,13.0,0.25100002,3456280000.0,3072890000.0,3818000000.0,17.0,2927450000.0,0.18100001,4.38,4.38,4.38,4.37,4.39,0.0,0.0,1.0,,INCY
+5Y,1,,0.15,,,,,,,,,,,,,,,,,,,,,,INCY
-5Y,1,,0.33318,,,,,,,,,,,,,,,,,,,,,,INCY
0Q,1,2021-12-31,0.65699995,1.79,1.59,1.95,1.08,21.0,0.65699995,6190960000.0,5851800000.0,6448000000.0,17.0,4549450000.0,0.36099997,1.79,1.79,1.78,1.78,1.37,0.0,1.0,0.0,,CHRW
+1Q,1,2022-03-31,0.188,1.52,1.24,2.09,1.28,14.0,0.188,5696940000.0,5097900000.0,6316050000.0,9.0,4803870000.0,0.186,1.52,1.52,1.52,1.53,1.22,0.0,1.0,0.0,,CHRW
0Y,1,2021-12-31,0.694,6.3,5.04,6.51,3.72,25.0,0.694,22786000000.0,22452100000.0,23154400000.0,21.0,16207100000.0,0.406,6.3,6.3,6.29,6.32,5.47,0.0,3.0,0.0,,CHRW
+1Y,1,2022-12-31,-0.04,6.05,4.75,6.95,6.3,25.0,-0.04,22777900000.0,20698700000.0,24990900000.0,21.0,22786000000.0,0.0,6.05,6.05,6.03,6.02,5.27,0.0,3.0,0.0,,CHRW
+5Y,1,,0.123900004,,,,,,,,,,,,,,,,,,,,,,CHRW
-5Y,1,,0.08636,,,,,,,,,,,,,,,,,,,,,,CHRW
0Q,1,2021-12-31,0.549,2.06,1.98,2.17,1.33,10.0,0.549,1937080000.0,1786000000.0,2002990000.0,9.0,1714200000.0,0.13,2.06,2.06,2.06,2.07,2.16,1.0,2.0,0.0,,PKG
+1Q,1,2022-03-31,0.215,2.15,1.7,2.32,1.77,7.0,0.215,1942990000.0,1841000000.0,2016070000.0,6.0,1712350000.0,0.135,2.15,2.15,2.16,2.17,2.38,0.0,0.0,1.0,,PKG
0Y,1,2021-12-31,0.5,8.67,8.46,8.8,5.78,12.0,0.5,7608990000.0,7473000000.0,7690190000.0,11.0,6658200000.0,0.143,8.67,8.67,8.69,8.7,8.45,1.0,2.0,0.0,,PKG
+1Y,1,2022-12-31,0.076,9.33,8.05,10.35,8.67,12.0,0.076,7915760000.0,7450000000.0,8363160000.0,11.0,7608990000.0,0.04,9.33,9.32,9.35,9.44,9.4,1.0,2.0,0.0,,PKG
+5Y,1,,0.16399999,,,,,,,,,,,,,,,,,,,,,,PKG
-5Y,1,,0.15878999,,,,,,,,,,,,,,,,,,,,,,PKG
0Q,1,2021-12-31,-0.289,0.96,0.87,1.08,1.35,8.0,-0.289,253800000.0,250400000.0,269200000.0,8.0,,,0.96,0.96,0.97,0.97,1.09,0.0,0.0,0.0,,ABMD
+1Q,1,2022-03-31,-0.113000005,1.1,1.02,1.19,1.24,8.0,-0.113000005,267700000.0,263240000.0,269700000.0,8.0,241246000.0,0.11,1.1,1.1,1.12,1.12,1.16,0.0,0.0,0.0,,ABMD
0Y,1,2022-03-31,-0.15,4.2,4.06,4.37,4.94,9.0,-0.15,1022090000.0,1015000000.0,1038100000.0,9.0,847522000.0,0.206,4.2,4.2,4.21,4.21,4.38,1.0,1.0,0.0,,ABMD
+1Y,1,2023-03-31,0.19299999,5.01,4.42,5.43,4.2,9.0,0.19299999,1180720000.0,1124080000.0,1238200000.0,9.0,1022090000.0,0.155,5.01,5.01,5.04,5.04,5.34,1.0,1.0,0.0,,ABMD
+5Y,1,,0.10479999,,,,,,,,,,,,,,,,,,,,,,ABMD
-5Y,1,,0.60371,,,,,,,,,,,,,,,,,,,,,,ABMD
0Q,1,2021-12-31,-0.062,2.13,2.07,2.21,2.27,12.0,-0.062,2136540000.0,2041600000.0,2177740000.0,10.0,1990900000.0,0.073,2.13,2.12,2.12,2.14,2.17,1.0,1.0,0.0,,AVY
+1Q,1,2022-03-31,0.004,2.41,2.31,2.56,2.4,6.0,0.004,2273260000.0,2235000000.0,2342600000.0,5.0,2051300000.0,0.108,2.41,2.41,2.41,2.38,2.2,0.0,0.0,1.0,,AVY
0Y,1,2021-12-31,0.256,8.92,8.85,9.0,7.1,14.0,0.256,8357400000.0,8266700000.0,8402840000.0,12.0,6971500000.0,0.199,8.92,8.92,8.92,8.94,8.8,1.0,1.0,0.0,,AVY
+1Y,1,2022-12-31,0.091000006,9.73,9.25,10.21,8.92,14.0,0.091000006,8944370000.0,8676000000.0,9176000000.0,12.0,8357400000.0,0.07,9.73,9.7,9.7,9.68,9.54,2.0,2.0,0.0,,AVY
+5Y,1,,0.0916,,,,,,,,,,,,,,,,,,,,,,AVY
-5Y,1,,0.17694001,,,,,,,,,,,,,,,,,,,,,,AVY
0Q,1,2021-12-31,0.202,1.13,1.08,1.2,0.94,11.0,0.202,467970000.0,458300000.0,476500000.0,10.0,,,1.13,1.13,1.13,1.08,1.08,0.0,0.0,0.0,,JKHY
+1Q,1,2022-03-31,0.158,1.1,1.08,1.13,0.95,11.0,0.158,475510000.0,473100000.0,478100000.0,10.0,,,1.1,1.1,1.1,1.08,1.08,0.0,0.0,0.0,,JKHY
0Y,1,2022-06-30,0.143,4.71,4.68,4.78,4.12,11.0,0.143,1910160000.0,1870000000.0,1919200000.0,10.0,1758220000.0,0.086,4.71,4.71,4.71,4.59,4.59,0.0,0.0,0.0,,JKHY
+1Y,1,2023-06-30,0.093,5.15,5.07,5.2,4.71,10.0,0.093,2045670000.0,1994000000.0,2069500000.0,9.0,1910160000.0,0.071,5.15,5.15,5.15,5.08,5.08,0.0,0.0,0.0,,JKHY
+5Y,1,,0.14,,,,,,,,,,,,,,,,,,,,,,JKHY
-5Y,1,,0.085810006,,,,,,,,,,,,,,,,,,,,,,JKHY
0Q,1,2021-12-31,-0.08,0.69,0.64,0.79,0.75,18.0,-0.08,1951040000.0,1859000000.0,2018000000.0,17.0,1860000000.0,0.049000002,0.69,0.69,0.69,0.69,0.77,0.0,1.0,0.0,,MAS
+1Q,1,2022-03-31,0.034,0.92,0.75,1.06,0.89,14.0,0.034,2005400000.0,1881000000.0,2157350000.0,12.0,1970000000.0,0.018,0.92,0.92,0.92,0.91,0.9,0.0,1.0,0.0,,MAS
0Y,1,2021-12-31,0.189,3.71,3.66,3.77,3.12,21.0,0.189,8297760000.0,8204000000.0,8371000000.0,19.0,7188000000.0,0.154,3.71,3.71,3.71,3.71,3.71,1.0,1.0,0.0,,MAS
+1Y,1,2022-12-31,0.116000004,4.14,3.78,4.35,3.71,21.0,0.116000004,8576540000.0,8350000000.0,8868000000.0,19.0,8297760000.0,0.034,4.14,4.14,4.13,4.12,4.06,1.0,2.0,0.0,,MAS
+5Y,1,,0.154,,,,,,,,,,,,,,,,,,,,,,MAS
-5Y,1,,0.23332001,,,,,,,,,,,,,,,,,,,,,,MAS
0Q,1,2021-12-31,-0.141,1.64,1.45,1.75,1.91,9.0,-0.141,174990000.0,170600000.0,178450000.0,8.0,171346000.0,0.021,1.64,1.66,1.65,1.66,1.86,0.0,1.0,1.0,,MKTX
+1Q,1,2022-03-31,-0.033,2.04,1.7,2.27,2.11,9.0,-0.033,197860000.0,181900000.0,213680000.0,8.0,194040000.0,0.02,2.04,2.04,2.09,2.09,2.28,0.0,2.0,0.0,,MKTX
0Y,1,2021-12-31,-0.098000005,7.08,6.85,7.27,7.85,12.0,-0.098000005,708640000.0,698990000.0,715000000.0,11.0,689125000.0,0.027999999,7.08,7.1,7.09,7.08,7.37,0.0,1.0,1.0,,MKTX
+1Y,1,2022-12-31,0.11399999,7.89,7.21,8.49,7.08,12.0,0.11399999,793480000.0,754200000.0,824000000.0,11.0,708640000.0,0.12,7.89,7.91,7.9,7.89,8.43,0.0,1.0,1.0,,MKTX
+5Y,1,,0.047199998,,,,,,,,,,,,,,,,,,,,,,MKTX
-5Y,1,,0.21771999,,,,,,,,,,,,,,,,,,,,,,MKTX
0Q,1,2021-12-31,0.017,2.43,2.39,2.47,2.39,12.0,0.017,888310000.0,875120000.0,921800000.0,10.0,790990000.0,0.123,2.43,2.43,2.43,2.51,2.58,0.0,0.0,0.0,,CRL
+1Q,1,2022-03-31,0.075,2.72,2.6,3.0,2.53,10.0,0.075,938640000.0,918280000.0,950900000.0,6.0,798180000.0,0.176,2.72,2.72,2.72,2.76,2.79,0.0,0.0,0.0,,CRL
0Y,1,2021-12-31,0.26299998,10.27,10.22,10.31,8.13,14.0,0.26299998,3521970000.0,3510200000.0,3556900000.0,13.0,2923930000.0,0.205,10.27,10.27,10.27,10.24,10.32,0.0,0.0,0.0,,CRL
+1Y,1,2022-12-31,0.116000004,11.46,11.03,11.83,10.27,14.0,0.116000004,3923180000.0,3876470000.0,3997500000.0,13.0,3521970000.0,0.11399999,11.46,11.46,11.46,11.44,11.58,0.0,0.0,0.0,,CRL
+5Y,1,,0.15560001,,,,,,,,,,,,,,,,,,,,,,CRL
-5Y,1,,0.15404001,,,,,,,,,,,,,,,,,,,,,,CRL
0Q,1,2021-12-31,0.021,1.91,1.8,2.01,1.87,18.0,0.021,2336430000.0,2260400000.0,2457900000.0,16.0,2365130000.0,-0.012,1.91,1.91,1.91,1.9,1.91,1.0,1.0,0.0,,AAP
+1Q,1,2022-03-31,-0.018,3.28,2.69,3.82,3.34,16.0,-0.018,3230400000.0,3135000000.0,3391460000.0,13.0,3330370000.0,-0.03,3.28,3.28,3.28,3.25,3.27,0.0,0.0,0.0,,AAP
0Y,1,2021-12-31,0.395,11.87,11.57,12.0,8.51,23.0,0.395,10933600000.0,10800000000.0,11058900000.0,21.0,10106300000.0,0.081999995,11.87,11.87,11.87,11.46,11.45,1.0,4.0,0.0,,AAP
+1Y,1,2022-12-31,0.101,13.07,9.98,14.08,11.87,24.0,0.101,11122900000.0,10859000000.0,11422500000.0,21.0,10933600000.0,0.017,13.07,13.07,13.08,12.76,12.75,1.0,4.0,0.0,,AAP
+5Y,1,,0.16700001,,,,,,,,,,,,,,,,,,,,,,AAP
-5Y,1,,-0.032279998,,,,,,,,,,,,,,,,,,,,,,AAP
0Q,1,2021-12-31,-0.058000002,0.81,0.75,0.85,0.86,10.0,-0.058000002,2507110000.0,2477860000.0,2567810000.0,7.0,2284400000.0,0.096999995,0.81,0.81,0.81,0.81,0.8,0.0,0.0,0.0,,IPG
+1Q,1,2022-03-31,-0.044,0.43,0.39,0.5,0.45,5.0,-0.044,2133210000.0,2122500000.0,2156000000.0,4.0,1937220000.0,0.101,0.43,0.43,0.43,0.43,0.46,0.0,0.0,0.0,,IPG
0Y,1,2021-12-31,0.491,2.58,2.39,2.67,1.73,12.0,0.491,9149570000.0,9036860000.0,9894000000.0,10.0,8064500000.0,0.135,2.58,2.58,2.59,2.59,2.44,0.0,1.0,0.0,,IPG
+1Y,1,2022-12-31,0.012,2.61,2.42,2.84,2.58,12.0,0.012,9496630000.0,9313000000.0,10290000000.0,10.0,9149570000.0,0.038,2.61,2.61,2.61,2.61,2.56,0.0,1.0,0.0,,IPG
+5Y,1,,0.174,,,,,,,,,,,,,,,,,,,,,,IPG
-5Y,1,,0.01396,,,,,,,,,,,,,,,,,,,,,,IPG
0Q,1,2021-12-31,0.38099998,0.29,0.28,0.3,0.21,11.0,0.38099998,1310860000.0,1297000000.0,1320000000.0,10.0,1238000000.0,0.059,0.29,0.29,0.29,0.3,0.3,0.0,0.0,1.0,,HWM
+1Q,1,2022-03-31,0.36400002,0.3,0.29,0.32,0.22,6.0,0.36400002,1321860000.0,1315000000.0,1328720000.0,2.0,1209000000.0,0.093,0.3,0.3,0.3,0.32,0.33,0.0,0.0,0.0,,HWM
0Y,1,2021-12-31,0.262,1.01,0.99,1.02,0.8,12.0,0.262,4999270000.0,4990000000.0,5007000000.0,12.0,5259000000.0,-0.049000002,1.01,1.01,1.01,0.99,1.0,0.0,0.0,0.0,,HWM
+1Y,1,2022-12-31,0.38599998,1.4,1.2,1.5,1.01,13.0,0.38599998,5619910000.0,5187400000.0,5738100000.0,12.0,4999270000.0,0.124,1.4,1.4,1.41,1.45,1.46,0.0,0.0,1.0,,HWM
+5Y,1,,0.3355,,,,,,,,,,,,,,,,,,,,,,HWM
-5Y,1,,-0.04659,,,,,,,,,,,,,,,,,,,,,,HWM
0Q,1,2022-02-28,,-0.85,-1.12,-0.69,,5.0,,2289580000.0,2016680000.0,2461460000.0,5.0,,,-0.85,-0.85,-0.69,-0.56,-0.56,0.0,0.0,2.0,,CCL
+1Q,1,2022-05-31,,-0.4,-0.63,-0.18,,5.0,,3302560000.0,2950520000.0,3734660000.0,5.0,,,-0.4,-0.4,-0.28,-0.19,-0.19,0.0,0.0,2.0,,CCL
0Y,1,2022-11-30,0.958,-0.26,-1.54,0.74,-6.25,10.0,0.958,15315800000.0,14233500000.0,16708200000.0,9.0,1688160000.0,8.0720005,-0.26,-0.26,-0.1,-0.03,0.05,0.0,1.0,5.0,,CCL
+1Y,1,2023-11-30,7.5,1.69,1.1,2.48,-0.26,9.0,7.5,20068100000.0,18153900000.0,22225900000.0,8.0,15315800000.0,0.31,1.69,1.68,1.7,1.64,1.68,2.0,1.0,4.0,,CCL
+5Y,1,,0.0995,,,,,,,,,,,,,,,,,,,,,,CCL
-5Y,1,,0.18033001,,,,,,,,,,,,,,,,,,,,,,CCL
0Q,1,2021-12-31,-0.26,1.08,1.01,1.28,1.46,12.0,-0.26,829830000.0,827000000.0,834600000.0,10.0,809656000.0,0.025,1.08,1.08,1.09,1.33,1.33,0.0,0.0,0.0,,CTXS
+1Q,1,2022-03-31,-0.155,1.2,1.01,1.29,1.42,11.0,-0.155,799660000.0,780000000.0,814760000.0,9.0,797640000.0,0.003,1.2,1.2,1.2,1.29,1.3,0.0,0.0,0.0,,CTXS
0Y,1,2021-12-31,-0.19,4.94,4.85,5.14,6.1,14.0,-0.19,3196670000.0,3193570000.0,3200920000.0,14.0,3236700000.0,-0.012,4.94,4.94,4.95,4.86,4.93,0.0,1.0,0.0,,CTXS
+1Y,1,2022-12-31,0.063,5.25,4.85,5.77,4.94,14.0,0.063,3351090000.0,3245590000.0,3576550000.0,14.0,3196670000.0,0.048,5.25,5.25,5.29,5.7,5.72,0.0,0.0,0.0,,CTXS
+5Y,1,,0.065,,,,,,,,,,,,,,,,,,,,,,CTXS
-5Y,1,,0.09847,,,,,,,,,,,,,,,,,,,,,,CTXS
0Q,1,2021-12-31,0.348,1.24,1.17,1.33,0.92,11.0,0.348,2453760000.0,2376500000.0,2482770000.0,5.0,2312470000.0,0.061,1.24,1.24,1.24,1.24,1.16,0.0,1.0,0.0,,WRB
+1Q,1,2022-03-31,0.204,1.3,1.21,1.38,1.08,10.0,0.204,2489570000.0,2434600000.0,2515750000.0,5.0,2156870000.0,0.154,1.3,1.3,1.31,1.29,1.21,0.0,1.0,0.0,,WRB
0Y,1,2021-12-31,1.065,4.79,4.66,4.9,2.32,12.0,1.065,9226820000.0,8706000000.0,9360000000.0,6.0,8098920000.0,0.139,4.79,4.79,4.79,4.77,4.38,0.0,1.0,0.0,,WRB
+1Y,1,2022-12-31,0.088,5.21,4.65,5.5,4.79,12.0,0.088,10200100000.0,9351000000.0,10587000000.0,6.0,9226820000.0,0.105,5.21,5.21,5.2,5.18,4.94,0.0,1.0,0.0,,WRB
+5Y,1,,0.09,,,,,,,,,,,,,,,,,,,,,,WRB
-5Y,1,,0.04739,,,,,,,,,,,,,,,,,,,,,,WRB
0Q,1,2021-12-31,0.77800006,-0.02,-0.2,0.3,-0.09,6.0,0.77800006,890860000.0,829000000.0,958000000.0,13.0,267000000.0,2.337,-0.02,-0.02,-0.08,-0.06,-0.06,0.0,2.0,0.0,,HST
+1Q,1,2022-03-31,0.90900004,-0.02,-0.2,0.17,-0.22,5.0,0.90900004,964990000.0,837000000.0,1056000000.0,11.0,399000000.0,1.4189999,-0.02,-0.02,-0.03,0.01,0.02,0.0,2.0,0.0,,HST
0Y,1,2021-12-31,0.519,-0.5,-0.67,-0.16,-1.04,6.0,0.519,2778030000.0,2701900000.0,2850000000.0,17.0,1620000000.0,0.715,-0.5,-0.5,-0.54,-0.44,-0.43,0.0,2.0,0.0,,HST
+1Y,1,2022-12-31,1.52,0.26,-0.08,0.7,-0.5,8.0,1.52,4328020000.0,3940400000.0,4748700000.0,17.0,2778030000.0,0.55799997,0.26,0.26,0.24,0.38,0.38,0.0,2.0,0.0,,HST
+5Y,1,,0.284,,,,,,,,,,,,,,,,,,,,,,HST
-5Y,1,,0.17281,,,,,,,,,,,,,,,,,,,,,,HST
0Q,1,2021-12-31,0.29700002,-0.26,-0.42,0.06,-0.37,10.0,0.29700002,1076530000.0,939000000.0,1198000000.0,8.0,1146000000.0,-0.061,-0.26,-0.26,-0.24,-0.24,0.03,0.0,1.0,1.0,,LVS
